Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
LAKE,TAMIL NADU,16,18,2,6.6,6.5,7.4,6,630,1.6,13.2,0.5,3.4,110,2200,390,4700,2018
LAKE,TAMIL NADU,25,28,6.2,8.6,6.2,7.9,286,426,0.8,8.1,0.4,1.6,78,630,380,1400,2018
LAKE,TAMIL NADU,29,35,3.9,7.9,7.5,8.3,256,529,0.9,6.9,0.3,1,34,1100,130,2800,2018
LAKE,TAMIL NADU,8.1,32,3.1,7.4,7.1,8.9,364,2610,2,36,0.2,1.1,2,460,490,2220,2018
LAKE,TAMIL NADU,31,31,4.2,7.6,7.5,9.2,396,575,2,10,0.1,1.3,2,210,260,2220,2018
LAKE,TAMIL NADU,31,31,4.3,7.8,6.3,9.1,360,1373,2,17,0.1,1.2,2,340,320,2800,2018
LAKE,TAMIL NADU,31,31,2.9,7,6.3,8.1,29900,181400,2,20,0,2.4,2,110,BDL,1400,2018
LAKE,TELANGANA,20,29,0.1,2.2,7.3,7.8,1204,1588,10,22,1.2,26.4,20,480,260,15000,2018
LAKE,TELANGANA,26,34,0,0.1,7.1,7.7,1088,1711,14,28,0.6,24.1,40,420,520,14500,2018
LAKE,TELANGANA,26,31,5,6.6,7.5,9.2,302,378,1,3,0.2,2.4,2,30,10,200,2018
LAKE,TELANGANA,25,28,2.3,5.4,6.9,8.6,1197,1469,6,18,1.2,5.5,2,180,140,8000,2018
LAKE,TELANGANA,26,34,0,3.9,7.3,7.9,1355,1678,6,20,2.1,11.6,2,220,80,12000,2018
LAKE,TELANGANA,26,30,0,0.1,7.4,8.0,1870,2988,24,45,1.6,23.6,20,800,370,11000,2018
LAKE,TELANGANA,26,32,5.1,6.8,7.2,8.2,215,390,2,3,0,1.6,2,25,10,300,2018
LAKE,TELANGANA,25,28,3.9,6,7.1,8.1,435,771,2,8,0.3,2.6,2,120,10,500,2018
LAKE,TELANGANA,26,29,0.9,4.1,7.1,7.9,980,1480,6,16,0.2,13.9,2,320,120,8000,2018
LAKE,TELANGANA,26,29,0.1,1.1,7.1,7.6,1085,1534,10,39,0.1,18,2,800,120,16500,2018
LAKE,TELANGANA,20,29,0,2.3,7.4,7.8,1210,1790,10,20,0.9,22.1,2,800,176,14000,2018
LAKE,TELANGANA,24,29,0,1,7.4,8.0,1180,1617,14,20,3.8,15.6,2,800,110,10500,2018
LAKE,TELANGANA,18,29,0,1,7,7.8,880,1296,12,60,0.3,18,2,800,220,13000,2018
LAKE,TELANGANA,25,29,0,0.5,7.1,7.3,1162,1816,15,40,0,48.5,2,420,21,800,2018
LAKE,TELANGANA,26,29,2,44.1,7.2,8.8,686,1140,1,16,0.2,38.3,2,96,17,1600,2018
LAKE,TELANGANA,27,33,0,5.5,7.3,8.3,1345,1947,9,23,2.2,23,2,220,14,580,2018
POND,TELANGANA,27,30,0.1,0.1,7.6,7.9,1480,1652,20,22,0,28.4,30,60,400,10500,2018
POND,TELANGANA,25,31,0,4.2,6.9,8.4,3460,30590,28,286,1.2,49.6,2,480,480,35525,2018
POND,TELANGANA,24,32,3.8,5.8,7.1,8.4,386,798,2,3,0.1,3.7,2,23,17,800,2018
POND,TELANGANA,24,30,0,0.1,5.4,7.7,7040,12580,99,278,40.8,62.8,4,100,125,3225,2018
POND,TELANGANA,26,36,1,3.9,7.2,8.1,1007,1380,4,18,0.5,26,2,220,120,9750,2018
POND,TELANGANA,26,34,0,1,7.2,7.8,1330,1968,11,29,1.1,50,2,520,236,12000,2018
POND,TELANGANA,26,32,0,2.6,7.2,7.9,921,1610,8,20,0.9,21.1,10,480,180,12000,2018
POND,TELANGANA,26,30,0,2,7.4,7.9,1240,1708,12,32,2,23,2,800,162,10500,2018
POND,TELANGANA,26,30,1.9,4,7.3,8.1,1189,1614,6,12,2.3,8.7,2,420,156,5500,2018
POND,TELANGANA,25,28,0,1.9,7.3,7.9,1243,1758,14,38,0.6,9.8,2,480,120,1600,2018
TANK,TELANGANA,24,30,5.2,6,7.5,8.4,257,410,2,3,0,1,2,24,8,200,2018
TANK,TELANGANA,18,31,4.9,6.8,7.5,8.5,530,880,3,60,6.8,18.5,5,125,57,1450,2018
TANK,TELANGANA,24,34,4.8,7.9,7,8.1,1782,2414,16,24,0.4,52.3,6,250,124,4000,2018
TANK,TELANGANA,24,29,3.2,6.4,6.3,7.7,2586,5760,10,30,11,51.7,2,100,29,1675,2018
TANK,TELANGANA,26,34,0,1.7,7.2,7.6,3270,5930,16,40,2.1,9.8,2,540,120,1600,2018
TANK,TELANGANA,26,30,0,0.1,7.2,8.1,1447,2008,22,41,0.3,13,55,800,320,18000,2018
TANK,TELANGANA,25,29,4.5,6.2,7.5,8.3,59,683,3,80,0.6,4.5,2,25,4,300,2018
TANK,TELANGANA,26,30,2,5,7.3,8.8,1114,1810,8,22,0.9,12.5,2,100,40,16875,2018
TANK,TELANGANA,23,30,4.1,7.2,6.3,7.9,860,1326,3,8,10.6,34.4,2,100,22,1350,2018
TANK,TELANGANA,26,28,0.1,4.6,7.1,7.8,514,2700,3,140,0.3,19.9,2,220,24,1600,2018
TANK,TELANGANA,26,28,0.1,1.8,6.9,7.5,912,1688,12,190,0,35.6,2,27,56,520,2018
TANK,TELANGANA,28,28,4.2,4.2,7.1,7.1,773,773,4,4,0,5.1,7,7,38,38,2018
TANK,TELANGANA,27,30,3.2,6.2,7.5,8.3,456,988,2,24,0,11.2,9,80,15,240,2018
TANK,TELANGANA,28,28,0,0.1,7.1,7.3,1424,1769,19,32,10.4,31,11,240,26,560,2018
TANK,TELANGANA,24,29,5.7,8.5,6.9,7.6,3640,4710,7,18,10.5,24.4,2,5,9,52,2018
TANK,TELANGANA,23,29,4.4,7,0.9,7.7,667,1054,5,88,7.5,54.4,2,32,35,63,2018
TANK,TELANGANA,21,30,6.5,8.6,7.3,8.0,667,740,4,9,4.1,12.8,2,62,32,70,2018
TANK,TELANGANA,23,28,2.5,8.5,6.6,7.3,4760,5430,18,30,20.3,32.4,4,10,100,154,2018
TANK,TELANGANA,26,29,0,1,6.9,7.6,146,1550,20,30,4,69.5,2,800,23,1600,2018
TANK,TELANGANA,26,29,0,4.3,7.2,8.6,1204,1843,14,57,0.3,56,2,420,19,1600,2018
TANK,TELANGANA,25,29,6.2,7.4,6.9,8.0,1077,1268,6,13,20.4,28.4,6,10,79,180,2018
TANK,TELANGANA,24,28,6.5,6.9,7,8.5,1030,1282,5,12,10.3,19.3,2,12,27,162,2018
TANK,TELANGANA,23,28,5.2,7.1,5.5,8.3,1138,1280,4,10,0,26.5,2,60,25,48,2018
TANK,TELANGANA,25,28,5.6,6.8,6.5,7.9,1692,1944,4,13,20.5,32.6,3,6,38,100,2018
TANK,TELANGANA,25,26,4.2,6.2,7.2,8.1,1442,1866,3.2,5,0,50,2,3,26,70,2018
TANK,TELANGANA,24,28,2.5,6.5,6.7,7.9,5930,8793,3,88,38.9,59.9,2,12,70,136,2018
TANK,TELANGANA,24,29,6.6,7.9,6.9,8.0,1065,2871,4,11.8,30.3,45.3,2,4,29,90,2018
TANK,TELANGANA,25,28,6.1,7.6,7.2,8.7,1640,4320,4.8,14,16.6,48.3,2,6,36,110,2018
TANK,TELANGANA,25,28,2.6,4.7,6.9,9.0,909,1320,10,18,2,15.5,2,94,69,480,2018
TANK,TELANGANA,25,30,1.6,5.4,6.9,7.8,1012,1240,6,26,2.1,10.8,2,43,94,468,2018
TANK,TELANGANA,25,29.5,2.1,4.6,7.4,7.9,1014,1821,8,16,0.6,2.4,2,52,32,481,2018
TANK,TELANGANA,21,28,3.2,7.4,6.6,7.2,2071,2814,7,14,22.5,38.6,2,65,36,96,2018
LAKE,TRIPURA,20.5,30,6.3,8.5,6.9,9.0,71,159,0.2,1,0.2,0.7,110,150,220,280,2018
LAKE,TRIPURA,20.5,29.5,5.9,8.3,6.1,8.4,107,187,0.6,2.9,0.3,0.8,110,170,210,350,2018
LAKE,TRIPURA,20.5,29,6.1,7.9,6.3,8.0,61,139,0.2,0.8,0.2,0.5,94,170,210,280,2018
LAKE,TRIPURA,24,28.5,7.1,7.8,7.2,7.9,122,212,0.8,2,0.4,0.6,110,150,220,280,2018
LAKE,TRIPURA,24,28.5,7.3,8.4,7.1,7.9,110,187,0.7,2.4,0.3,0.7,130,280,240,480,2018
POND,TRIPURA,20,29,5.1,6.9,6.8,8.7,69,142,0.2,0.7,0.1,0.6,110,170,210,350,2018
POND,TRIPURA,20.5,30,5.2,7.4,6.7,8.8,72,157,0.2,0.9,0.2,0.7,110,170,220,280,2018
POND,TRIPURA,21,29,6.5,8.9,7,9.0,86,164,0.4,1.2,0.2,0.8,140,240,220,430,2018
POND,TRIPURA,21,29,6.9,8.6,7,8.8,73,149,0.2,1.1,0.1,0.8,110,170,220,350,2018
POND,TRIPURA,21,29,6.7,8.9,6.8,8.9,82,167,0.2,1.2,0.2,0.4,110,170,220,350,2018
POND,TRIPURA,24,28.5,5.5,7.3,6.3,7.1,110,216,0.6,2.7,0.3,0.5,120,170,220,350,2018
POND,TRIPURA,24.5,29,6.2,7,7.3,8.3,122,213,0.5,2.6,0.3,0.5,120,240,220,350,2018
POND,TRIPURA,24.5,29,7.6,8.8,6.8,7.4,132,215,0.8,3.8,0.4,0.8,130,280,240,430,2018
POND,TRIPURA,23.5,28.5,7.1,7.9,7,7.9,106,178,0.5,2,0.3,0.5,110,170,220,280,2018
POND,TRIPURA,24.5,28,6.6,7.3,6.4,7.7,109,157,0.4,2,0.4,0.8,150,220,220,350,2018
LAKE,"UTTAR 
PRADESH",20,28,5.8,7.2,7.8,8.1,251,477,4,5,0.9,1,5100,6900,7800,8600,2018
LAKE,WEST BENGAL,20,33,8.1,14.2,7.6,8.7,40,626,1.7,6.1,0.3,0.6,700,130000,1300,230000,2018
LAKE,WEST BENGAL,20,36,4.8,18.6,7.4,8.8,624,724,3.1,21.6,0,3.5,23000,140000,30000,170000,2018
LAKE,WEST BENGAL,20,36,5.5,24.3,7.6,8.9,622,717,3,40.2,BDL,4.6,30000,220000,50000,280000,2018
LAKE,WEST BENGAL,20,36,6.5,25,7.7,8.9,641,718,1.5,44.2,0,2.7,13000,130000,23000,170000,2018
LAKE,WEST BENGAL,10,29,6.2,8.6,6.8,8.1,5,197,1.4,3.6,0,0.5,2600,9000,9000,28000,2018
LAKE,WEST BENGAL,4,20,6.2,7.2,6.9,8.1,88,197,2.4,3.6,0.2,0.7,2200,8000,5000,26000,2018
LAKE,WEST BENGAL,9,24,7.1,8.6,7.1,7.9,24,52,0.6,2.8,0.1,0.5,110,340,260,1400,2018
LAKE,WEST BENGAL,2,18,7.2,8.8,7,8.3,11,42,0.8,1.9,0,0.5,90,340,140,1400,2018
LAKE,WEST BENGAL,19,33,5.4,8.4,7,8.0,178,244,1.5,2.8,BDL,0.2,1100,9000,1400,14000,2018
LAKE,WEST BENGAL,17.5,32,4.1,9.7,7,8.1,438,550,2.5,3.8,BDL,1.1,3000,11000,5000,17000,2018
LAKE,"ANDHRA 
PRADESH",18,28,4.9,5.5,6.7,8.2,21840,47890,2.2,2.8,0.46,2.8,3,4,210,1600,2019
LAKE,"ANDHRA 
PRADESH",24,30,5,6.8,7,8.5,714,1950,1.6,4.2,0,5.82,11,23,150,1100,2019
LAKE,"ANDHRA 
PRADESH",25,28,3.7,7.5,7.2,8.1,979,14730,1.7,5.4,0,3.47,4,20,150,1300,2019
TANK,"ANDHRA 
PRADESH",25,36,3.2,6.1,6.8,7.9,228,1098,2,22,0,4.4,100,200,400,1400,2019
LAKE,ASSAM,22,34,4.6,11,7.1,8.0,144,273,2.7,4.8,1.1,2,2,360,360,1500,2019
LAKE,ASSAM,13,32,0.4,8.2,6.3,7.7,29,228,1.3,18,0.8,2.4,300,730,720,2000,2019
LAKE,ASSAM,22,36,4.7,5.7,7.2,8.1,51,213,1.8,2.6,0.8,2.1,2,360,300,2300,2019
LAKE,ASSAM,22,34,3.7,10,7.1,7.9,146,275,2.6,4.6,1.1,2.1,2,730,720,1500,2019
LAKE,ASSAM,20,26,4.1,5.4,6.4,7.4,88,126,1.2,4,0.7,1.3,300,730,720,2000,2019
LAKE,ASSAM,18,31,5.5,6.3,6.9,7.6,32,46,1.3,2.3,0.5,1.3,2,300,2,720,2019
POND,ASSAM,22,32,2,5.3,7.1,8.0,396,953,2.7,17.5,1.3,2.8,2,730,360,2800,2019
POND,ASSAM,12,29,2,6.5,6.3,7.7,28,258,1.3,4.5,0.9,1.9,300,1100,300,3500,2019
POND,ASSAM,19,34,6,7.8,7,7.8,24,42,1.2,2.8,0.6,1.4,2,360,2,730,2019
POND,ASSAM,18,31,5,7.5,6.5,7.3,20,240,1.1,3.7,0.2,1.3,2,730,2,1500,2019
POND,ASSAM,18,32,5.2,7.8,6.7,7.9,47,85,1.4,3.7,0.2,2,2,730,2,1500,2019
POND,ASSAM,20,33,7,7.8,7.5,8.8,28,310,1.6,6.4,0.6,2.8,300,910,720,2000,2019
POND,ASSAM,20,32,6.8,8,7.5,8.9,69,91,1.7,5.6,1,2.3,300,1500,720,2800,2019
POND,ASSAM,22,30,6.8,8,7.2,8.8,26,231,2,7.8,0.8,1.9,2,1100,360,2700,2019
POND,ASSAM,21,36,2.5,9,6,7.8,19,123,1.6,8.8,0.4,2.6,2,730,360,2700,2019
POND,ASSAM,22,34,4.2,9.8,7.3,8.1,51,83,1,5.4,0.6,1.5,300,730,360,2300,2019
POND,ASSAM,22,33,6,12.2,7.1,8.7,154,360,2.3,5.8,1,2.6,300,1100,730,2800,2019
POND,ASSAM,19,33,5.4,9.6,7.3,8.1,268,620,2.1,7,0.8,2.7,700,2800,1400,12000,2019
POND,ASSAM,21,33,6.4,10.8,7.5,9.1,90,228,1.1,14.5,1.5,2.5,300,2000,910,2800,2019
POND,ASSAM,15,36,6,10.3,6.1,8.0,19,195,1,2.6,0.7,2.8,300,720,360,2300,2019
POND,ASSAM,21,36,6,10,7.5,8.5,49,58,2,4,0.8,1.6,2,1500,720,4300,2019
POND,ASSAM,23,38,4.7,5.6,7.2,8.1,16,110,1.2,4.2,0.9,1.9,2,700,360,1500,2019
POND,ASSAM,21,38,3.1,5.5,7.1,8.1,44,63,1.2,2.5,0.7,2.4,300,1500,730,2800,2019
POND,ASSAM,20,38,3.1,5.8,7.2,8.8,74,98,1.2,2.4,0.7,2,2,730,360,2100,2019
POND,ASSAM,21,28,4.7,5.8,6.7,7.3,96,116,1.6,3.8,1.3,3.2,2,360,300,2800,2019
POND,ASSAM,18,32,5.8,8.7,6.1,7.5,22,40,1.2,2.8,0.2,1.7,2,730,2,910,2019
POND,ASSAM,20,31,5.1,7.6,6.3,7.5,22,36,1.3,3.6,0.6,1.3,2,910,2,2800,2019
POND,ASSAM,20,30,4.4,10,6.8,7.9,20,57,1.2,2.6,0.4,1.8,2,1500,360,3900,2019
POND,ASSAM,20,31,4.5,7.5,6.6,7.6,53,87,1.5,2.9,0.8,1.8,2,700,2,1500,2019
POND,ASSAM,22,25,4.1,5.3,6.4,7.5,108,163,2,3.2,0.7,1.6,2,2,2,730,2019
POND,ASSAM,23,34,5.1,10.2,7.5,8.1,311,381,1.9,4.8,1.1,2.5,720,2700,1400,12000,2019
POND,ASSAM,20,32,5.2,8.5,6.8,7.8,22,52,1.8,3.4,0.5,1.7,2,1500,2,4300,2019
POND,ASSAM,24,34,5.8,8,7.1,7.9,37,65,1.8,2.5,0.4,1.5,2,300,2,700,2019
TANK,ASSAM,18,31,5.3,7.7,6.8,7.7,20,28,1.5,2.2,0.2,1.8,2,360,2,600,2019
LAKE,BIHAR,19,29,9.3,9.8,7.7,8.2,239,366,2.7,2.9,0,0.18,4000,7000,11000,11000,2019
LAKE,BIHAR,17,34,9.2,13.6,7.6,9.9,353,905,1.4,10,0.12,1.57,180,22000,1200,54000,2019
LAKE,BIHAR,15,34,7,10.5,8.3,9.6,858,1200,2.8,15.6,0.06,2.09,1400,35000,3300,160000,2019
POND,BIHAR,17,37,7.8,9.5,7,7.8,658,1020,2.6,3.8,0,2.75,2100,22000,1100,35000,2019
POND,BIHAR,16,37,7.8,9.8,7.3,9.1,521,718,2.5,4.1,0,2.03,930,17000,3300,35000,2019
LAKE,CHANDIGARH,16,29.5,6.2,9.6,7.2,8.5,210,290,1,19,0,3,2,4900000,4,542000000,2019
LAKE,DELHI,7.4,7.4,6.8,6.8,7.4,7.4,999,1030,16,16,0.91,4.81,11000,11000,17000,17000,2019
LAKE,DELHI,8,8,2.8,2.8,8.1,8.1,6500,6510,27,72,0.31,4.46,17000,17000,22000,22000,2019
LAKE,DELHI,8.7,8.7,16.4,16.4,9.2,9.2,760,856,30,30,0.91,1.13,49000,49000,130000,130000,2019
LAKE,GOA,27,35,5.4,8.1,6.4,8.0,36,37320,BDL,0.8,BDL,0.53,BDL,130,BDL,240,2019
LAKE,GOA,27,31,6,8.2,5.6,8.0,13,24578,BDL,2.7,BDL,0.14,780,4900,1300,9400,2019
LAKE,GOA,27,31,6.3,9,6.4,7.8,36,177,BDL,2.1,0,0.49,2,110,BDL,170,2019
LAKE,GOA,26,30,2.2,6.1,6.4,7.7,52,2386,BDL,6,BDL,0.36,490,4900,790,7900,2019
LAKE,GOA,26,30,5.7,8.2,6.2,8.4,29,12045,BDL,3,0.05,2.15,78,1700,130,5400,2019
LAKE,GOA,27,30,4.6,9.5,6.3,7.8,60,329,BDL,12,0,7.8,20,4900,40,7900,2019
LAKE,GOA,28,30,1.9,5,6,8.1,213,441,BDL,4.2,0,2.54,7900,24000,14000,92000,2019
LAKE,GOA,27,36,4.1,10.6,6.1,7.5,59,448,BDL,4.3,BDL,4.89,200,4900,450,13000,2019
LAKE,GOA,26,30,7,8.8,6.1,7.2,50,145,BDL,BDL,BDL,0.37,2300,4900,3300,13000,2019
LAKE,GUJARAT,25,30,6,8.8,8.1,9.1,2408,3402,11,24,0.06,0.29,12,46,120,540,2019
LAKE,GUJARAT,28,29,6.1,8.2,7.4,8.3,415,527,4,13,0.07,0.21,2,68,2,490,2019
LAKE,GUJARAT,0,29,6.2,8.1,7.4,8.5,192,322,0.3,0.7,0.38,0.73,2,4,4,47,2019
LAKE,GUJARAT,0,30.3,2.7,4.8,7.2,8.5,775,3670,0.9,11,0.38,0.78,26,210,63,640,2019
LAKE,GUJARAT,27,27,7.1,7.4,7.7,9.0,335,2432,1.7,4,0,0.3,17,120,70,210,2019
LAKE,GUJARAT,24,29,3.2,7.4,7.6,8.2,698,2682,0.7,6,0.12,6,4,120,26,350,2019
LAKE,GUJARAT,23,28,5.4,6.6,7.1,8.2,440,532,4.1,6.3,0.25,0.33,6,8,21,21,2019
LAKE,GUJARAT,22,24,5.1,13.5,7.4,8.4,401,1736,1.9,276.9,0.02,0.06,6,7,26,33,2019
LAKE,GUJARAT,25,29,2.7,8,8.2,8.4,488,2240,0.4,3.7,0.38,0.74,2,120,21,540,2019
LAKE,GUJARAT,27,32,6.6,7.6,7.4,8.6,269,1630,0.4,0.9,0.11,0.48,17,26,49,94,2019
LAKE,GUJARAT,26,29,6,7.3,7.3,8.1,318,805,0.7,1.5,0.01,0.17,6,11,26,93,2019
LAKE,GUJARAT,24,33,5,7.7,7.6,8.3,375,2761,0.5,2.1,0.02,0.31,BDL,5,BDL,5,2019
LAKE,GUJARAT,25,29,3.1,6.8,7.2,8.5,328,623,0.4,0.9,0.36,0.76,4,49,33,240,2019
LAKE,GUJARAT,0,29,0,6.9,0,7.7,0,510,0,1.1,0,0.69,2,6,2,21,2019
LAKE,GUJARAT,26,30,2.8,9.2,8.4,9.4,6419,12050,14,82,0,0.4,12,120,70,920,2019
LAKE,GUJARAT,26,29,3.3,8.8,8.3,9.4,2892,4788,9,30,0,0.31,2,94,2,540,2019
LAKE,GUJARAT,24,30,0,7.1,6.5,8.2,158,627,0.4,12,0,0.58,4,350,47,920,2019
POND,GUJARAT,26,30,6.2,7.5,7.4,8.0,521,1126,0.9,1.6,0.04,0.44,6,17,38,84,2019
POND,GUJARAT,24,35,6,7.5,7,8.3,311,2171,0.8,1.2,0.02,0.29,6,21,33,142,2019
TANK,GUJARAT,25,29,BDL,8.7,7.3,8.6,367,1992,2.2,81,0,0.13,4,84,6,150,2019
LAKE,HARYANA,19,29,4.4,8.3,7.5,9.0,197,716,0.8,10,0,0.21,500,13000,2100,160000,2019
LAKE,HARYANA,18,29,2.1,8.1,7,8.4,329,590,1.8,4.5,0.02,2.09,9000,148000,5420,345000,2019
LAKE,HIMACHAL PRADESH,15,24,8.9,10.5,7.7,8.5,136,274,0.2,0.6,0.09,0.3,43,94,350,920,2019
LAKE,HIMACHAL PRADESH,9.3,19,8.2,9.3,7.1,7.9,104,1791,0.1,0.3,0.09,1.2,2,4,33,120,2019
LAKE,HIMACHAL PRADESH,13,28,5.7,7.1,7.4,8.1,444,6330,0.5,2.8,0.01,0.67,14,31,33,84,2019
LAKE,HIMACHAL PRADESH,11,28,5.3,12.5,6.9,8.2,181,284,3,17,0.14,0.39,84,210,920,1600,2019
LAKE,HIMACHAL PRADESH,5,14,5.2,6.2,6.8,8.0,49,256,0.9,6.5,0.68,1.59,2,13,2,280,2019
LAKE,KARNATAKA,23,29,1,9.8,6.7,8.9,380,891,3,75,0.63,18,630,79000,5400,540000,2019
LAKE,KARNATAKA,24,29,1,6.1,7.6,8.1,386,870,3,10,1.24,11.2,410,940,1700,5800,2019
LAKE,KARNATAKA,22,31,1.2,5.8,7.4,8.9,1250,2310,4,24,2.8,12.2,1100,4600,6300,9400,2019
LAKE,KARNATAKA,20,30,3.1,7,7.3,9.4,542,2680,3,10.4,0.34,3.4,840,2100,4300,6300,2019
LAKE,KARNATAKA,20,30,BDL,3.8,7.4,9.0,746,1164,10.4,23.8,2.8,8.3,1100,8200,7000,21000,2019
LAKE,KARNATAKA,20,31,0,3.2,7.3,8.1,936,1213,12,28,3.1,8.1,1700,6800,6300,15000,2019
LAKE,KARNATAKA,20,31,BDL,6.2,6.7,8.6,552,1579,3.8,52,1.5,9.6,1100,9300,5800,47000,2019
LAKE,KARNATAKA,7.2,29,4,6.8,7.3,9.4,585,1055,3,9,1.28,8.7,920,2100,4100,6300,2019
LAKE,KARNATAKA,26,28,0.6,9.1,6.6,9.1,395,678,4,10,0.45,56,2100,240000,16000,1600000,2019
LAKE,KARNATAKA,24,30,3,8.9,6.4,9.3,190,574,3,18,0.47,17,700,220000,5400,1600000,2019
LAKE,KARNATAKA,24,29,2,9.5,6.2,8.8,387,1110,3,32,0.6,20,480,110000,1600,920000,2019
LAKE,KARNATAKA,20,32,0.5,4.5,6.8,7.9,2,2890,7,122,1,21.3,4600,21000000,35000,160000000,2019
LAKE,KARNATAKA,26,31,0.6,5.5,6.7,7.7,995,1306,5,36,0.7,33,700,400000,5400,16000000,2019
LAKE,KARNATAKA,22,33,2.5,7.1,6.7,8.0,541,1416,4,32,0.7,28,460,1700000,3500,16000000,2019
LAKE,KARNATAKA,23,32,2.1,4.9,6.6,7.7,704,1821,7,34,0.9,33,470,110000,3500,920000,2019
LAKE,KARNATAKA,26,29,0.6,6,6.8,9.3,1304,1695,4,156,0.9,6.46,4800,210000,35000,1600000,2019
LAKE,KARNATAKA,26,29,1.5,5.8,6.9,8.2,710,1986,5,29,0.38,13,840,70000,9200,540000,2019
LAKE,KARNATAKA,26,29,3.8,6.4,6.7,7.6,677,1367,4,12,0.52,5.6,700,22000,5400,1600000,2019
LAKE,KARNATAKA,28,30,2.2,6.1,6.9,7.7,13,2294,5,25,1.23,13.21,630,140000,5400,920000,2019
LAKE,KARNATAKA,28,28,6.2,6.2,7.7,7.7,436,436,3,3,2.74,2.74,8400,8400,92000,92000,2019
LAKE,KARNATAKA,26,29,1.7,5.5,6.7,8.0,687,1609,4,27,1.12,5,460,94000,3500,540000,2019
LAKE,KARNATAKA,26,29,2.8,15,6.8,7.8,800,1516,6,32,0.6,6,480,21000,5400,1600000,2019
LAKE,KARNATAKA,26,30,1,5.2,7,8.7,900,1687,5,31,1.67,10,940,110000,5400,920000,2019
LAKE,KARNATAKA,27,30,1.3,5.1,6.8,7.9,839,1354,7.8,31,1.2,13,460,22000,3500,160000,2019
LAKE,KARNATAKA,24,30,3.2,7,6.5,7.3,591,1480,3,15,0.18,6,3100,46000,35000,350000,2019
LAKE,KARNATAKA,25,29,4,7.2,6.2,7.7,449,842,3,16,0.31,5,630,17000,9200,92000,2019
LAKE,KARNATAKA,27,36,0.5,5.6,6.5,8.8,782,1287,6,33,0.51,6.5,2800,94000,16000,540000,2019
LAKE,KARNATAKA,25,34,0.5,7.2,6.5,7.6,638,1384,4,52,0.44,5,460,70000,5400,350000,2019
LAKE,KARNATAKA,22,34,BDL,3.8,7.1,9.3,2200,4930,13,54,1.1,16,940,35000,5400,160000,2019
LAKE,KARNATAKA,22,35,BDL,1.8,6.6,10.3,428,1220,36,144,BDL,8,460,400000,5400,3500000,2019
LAKE,KARNATAKA,23,35,2.5,7.2,7.8,9.6,654,911,4,19,BDL,8,470,700000,3500,5400000,2019
LAKE,KARNATAKA,21,29,4.4,8,6.5,7.5,120,995,2,7,0.02,5.9,940,120000,9200,920000,2019
LAKE,KARNATAKA,22,32,1.4,6,6.5,8.0,689,1974,6,26,0.27,5.9,460,15000,5400,160000,2019
LAKE,KARNATAKA,24,32,0.3,9.4,8,9.1,388,1540,1.1,23.1,0,42,220,1800,900,3200,2019
LAKE,KARNATAKA,22,34,6.4,8.7,7.3,8.8,260,648,1.1,2.5,0,35.5,280,1800,1600,3200,2019
LAKE,KARNATAKA,23,26,6.2,8.2,6.9,8.3,394,1575,3.6,5.3,0.49,1.43,70,900,550,1800,2019
LAKE,KARNATAKA,22,33,0.5,6,6.4,7.7,577,3060,5,192,1.9,12,6300,4600000,54000,92000000,2019
LAKE,KARNATAKA,22,33,0.6,6.2,6.8,7.9,1150,2810,7,64,0.36,43,4800,150000,35000,920000,2019
LAKE,KARNATAKA,22,32,3,7.6,6.5,8.1,260,1786,3,30,0.38,4,260,940000,5400,9200000,2019
LAKE,KARNATAKA,22,33,0.6,6.5,5.2,7.8,510,2457,3,165,1.58,70,700,58000,5400,920000,2019
LAKE,KARNATAKA,24,28,5.2,8.5,5.7,6.8,289,790,3,6,1,13.99,70,28000,540,5400000,2019
LAKE,KARNATAKA,25,28,3,5.5,6.5,7.7,258,1554,3,41,1.94,5.6,630,14000,5400,160000,2019
LAKE,KARNATAKA,24,36,4,7.1,6.8,7.2,389,852,4,11,1.2,10,410,21000,3500,160000,2019
LAKE,KARNATAKA,23,33,0.6,6.2,6.6,7.6,786,1814,6,28,2,14,700,1700000,5400,16000000,2019
LAKE,KARNATAKA,20,32,0.5,7.1,6.6,7.3,481,845,3,9,1.22,4,940,12000000,5400,92000000,2019
LAKE,KARNATAKA,24,35,0.2,6,6.5,8.3,820,1334,5,38,1.6,8,4600,12000000,35000,92000000,2019
LAKE,KARNATAKA,22.7,33.8,4.8,8,7.1,8.2,467,1581,3,8,0.72,14,460,70000,5400,920000,2019
LAKE,KARNATAKA,23.4,31.6,4.9,8,7.7,8.2,604,858,1,6,0.8,12,460,84000,5400,920000,2019
LAKE,KARNATAKA,22.3,32.4,1,6.8,6.7,7.9,834,1693,3,27,1,14,630,840000,5400,9200000,2019
LAKE,KARNATAKA,24.3,33.6,1,6.7,6.4,7.5,453,1332,3,34,0.5,10,4600,460000,54000,3500000,2019
LAKE,KARNATAKA,23.4,33.4,4.4,6.7,6.9,7.9,300,774,3,41,0.32,5.2,840,84000,9200,920000,2019
